tempo_min,vazao_oleo_bopd,pressao_psi,viscosidade_cp,volume_oleo_bbl,temperatura_C,GOR,WOR
6.33333,11006.26,2850.00,2.80,54999951.59,92.00,420.00,0.15
6.41667,10896.20,2850.00,2.80,54999950.96,92.00,420.00,0.15
6.5,11215.38,2849.99,2.80,54999950.32,92.00,420.00,0.15
6.58333,11061.29,2849.99,2.80,54999949.68,92.00,420.00,0.15
6.66667,10962.23,2849.99,2.80,54999949.05,92.00,420.00,0.15
6.75,11171.35,2849.99,2.80,54999948.41,92.00,420.00,0.15
6.83333,11072.30,2849.99,2.80,54999947.77,92.00,420.00,0.15
6.91667,11204.37,2849.99,2.80,54999947.13,92.00,420.00,0.15
7,11017.26,2849.99,2.80,54999946.50,92.00,420.00,0.15
7.08333,10973.24,2849.99,2.80,54999945.86,92.00,420.00,0.15
7.16667,10896.20,2849.99,2.80,54999945.22,92.00,420.00,0.15
7.25,10841.16,2849.99,2.80,54999944.59,92.00,420.00,0.15
7.33333,11105.31,2849.99,2.80,54999943.95,92.00,420.00,0.15
7.41667,10786.13,2849.99,2.80,54999943.31,92.00,420.00,0.15
7.5,11193.36,2849.99,2.80,54999942.68,92.00,420.00,0.15
7.58333,10940.22,2849.99,2.80,54999942.04,92.00,420.00,0.15
7.66667,10808.14,2849.99,2.80,54999941.40,92.00,420.00,0.15
7.75,11182.36,2849.99,2.80,54999940.76,92.00,420.00,0.15
7.83333,10797.14,2849.99,2.80,54999940.13,92.00,420.00,0.15
7.91667,11138.33,2849.99,2.80,54999939.49,92.00,420.00,0.15
8,11149.34,2849.99,2.80,54999938.85,92.00,420.00,0.15
8.08333,11226.38,2849.99,2.80,54999938.22,92.00,420.00,0.15
8.16667,11182.36,2849.99,2.80,54999937.58,92.00,420.00,0.15
8.25,11105.31,2849.99,2.80,54999936.94,92.00,420.00,0.15
8.33333,10786.13,2849.99,2.80,54999936.31,92.00,420.00,0.15
8.41667,10863.17,2849.99,2.80,54999935.67,92.00,420.00,0.15
8.5,10907.20,2849.99,2.80,54999935.03,92.00,420.00,0.15
8.58333,10852.17,2849.99,2.80,54999934.40,92.00,420.00,0.15
8.66667,11182.35,2849.99,2.80,54999933.76,92.00,420.00,0.15
8.75,10819.15,2849.99,2.80,54999933.12,92.00,420.00,0.15
8.83333,10984.24,2849.99,2.80,54999932.48,92.00,420.00,0.15
8.91667,10973.23,2849.99,2.80,54999931.85,92.00,420.00,0.15
9,10929.21,2849.99,2.80,54999931.21,92.00,420.00,0.15
9.08333,10962.23,2849.99,2.80,54999930.57,92.00,420.00,0.15
9.16667,10797.13,2849.99,2.80,54999929.94,92.00,420.00,0.15
9.25,11138.33,2849.99,2.80,54999929.30,92.00,420.00,0.15
9.33333,10918.20,2849.99,2.80,54999928.66,92.00,420.00,0.15
9.41667,11116.31,2849.99,2.80,54999928.03,92.00,420.00,0.15
9.5,11127.32,2849.99,2.80,54999927.39,92.00,420.00,0.15
9.58333,11160.34,2849.99,2.80,54999926.75,92.00,420.00,0.15
9.66667,10852.16,2849.99,2.80,54999926.12,92.00,420.00,0.15
9.75,10819.14,2849.99,2.80,54999925.48,92.00,420.00,0.15
9.83333,10786.12,2849.99,2.80,54999924.84,92.00,420.00,0.15
9.91667,11204.36,2849.99,2.80,54999924.20,92.00,420.00,0.15
10,10841.16,2849.99,2.80,54999923.57,92.00,420.00,0.15
10.0833,11193.36,2849.99,2.80,54999922.93,92.00,420.00,0.15
10.1667,10929.21,2849.99,2.80,54999922.29,92.00,420.00,0.15
10.25,10863.17,2849.99,2.80,54999921.66,92.00,420.00,0.15
10.3333,11160.34,2849.99,2.80,54999921.02,92.00,420.00,0.15
10.4167,10962.22,2849.99,2.80,54999920.38,92.00,420.00,0.15
10.5,10797.13,2849.99,2.80,54999919.75,92.00,420.00,0.15
10.5833,11105.30,2849.99,2.80,54999919.11,92.00,420.00,0.15
10.6667,10951.22,2849.99,2.80,54999918.47,92.00,420.00,0.15
10.75,11193.35,2849.99,2.80,54999917.84,92.00,420.00,0.15
10.8333,10995.24,2849.99,2.80,54999917.20,92.00,420.00,0.15
10.9167,10984.23,2849.99,2.80,54999916.56,92.00,420.00,0.15
11,10830.15,2849.99,2.80,54999915.92,92.00,420.00,0.15
11.0833,11138.32,2849.99,2.80,54999915.29,92.00,420.00,0.15
11.1667,11050.27,2849.99,2.80,54999914.65,92.00,420.00,0.15
11.25,10797.13,2849.99,2.80,54999914.01,92.00,420.00,0.15
11.3333,11193.35,2849.99,2.80,54999913.38,92.00,420.00,0.15
11.4167,10797.13,2849.99,2.80,54999912.74,92.00,420.00,0.15
11.5,10984.23,2849.99,2.80,54999912.10,92.00,420.00,0.15
11.5833,10918.19,2849.99,2.80,54999911.47,92.00,420.00,0.15
11.6667,10995.24,2849.99,2.80,54999910.83,92.00,420.00,0.15
11.75,11028.26,2849.99,2.80,54999910.19,92.00,420.00,0.15
11.8333,10819.14,2849.99,2.80,54999909.56,92.00,420.00,0.15
11.9167,11160.33,2849.99,2.80,54999908.92,92.00,420.00,0.15
12,10907.19,2849.99,2.80,54999908.28,92.00,420.00,0.15
12.0833,11182.34,2849.99,2.80,54999907.64,92.00,420.00,0.15
12.1667,11083.29,2849.99,2.80,54999907.01,92.00,420.00,0.15
12.25,10995.24,2849.99,2.80,54999906.37,92.00,420.00,0.15
12.3333,11215.36,2849.99,2.80,54999905.73,92.00,420.00,0.15
12.4167,11105.30,2849.99,2.80,54999905.10,92.00,420.00,0.15
12.5,10962.22,2849.99,2.80,54999904.46,92.00,420.00,0.15
12.5833,10819.14,2849.99,2.80,54999903.82,92.00,420.00,0.15
12.6667,11083.29,2849.99,2.80,54999903.19,92.00,420.00,0.15
12.75,11116.30,2849.99,2.80,54999902.55,92.00,420.00,0.15
12.8333,10907.18,2849.99,2.80,54999901.91,92.00,420.00,0.15
12.9167,11017.25,2849.99,2.80,54999901.27,92.00,420.00,0.15
13,10841.15,2849.99,2.80,54999900.64,92.00,420.00,0.15
13.0833,10918.19,2849.99,2.80,54999900.00,92.00,420.00,0.15
13.1667,10907.18,2849.99,2.80,54999899.36,92.00,420.00,0.15
13.25,11039.26,2849.99,2.80,54999898.73,92.00,420.00,0.15
13.3333,10896.18,2849.99,2.80,54999898.09,92.00,420.00,0.15
13.4167,11116.30,2849.99,2.80,54999897.45,92.00,420.00,0.15
13.5,10786.11,2849.99,2.80,54999896.82,92.00,420.00,0.15
13.5833,10940.20,2849.99,2.80,54999896.18,92.00,420.00,0.15
13.6667,11039.26,2849.99,2.80,54999895.54,92.00,420.00,0.15
13.75,11072.28,2849.99,2.80,54999894.91,92.00,420.00,0.15
13.8333,10973.22,2849.99,2.80,54999894.27,92.00,420.00,0.15
13.9167,10995.23,2849.99,2.80,54999893.63,92.00,420.00,0.15
14,11105.29,2849.99,2.80,54999892.99,92.00,420.00,0.15
14.0833,11182.34,2849.99,2.80,54999892.36,92.00,420.00,0.15
14.1667,11127.31,2849.99,2.80,54999891.72,92.00,420.00,0.15
14.25,10863.16,2849.99,2.80,54999891.08,92.00,420.00,0.15
14.3333,10995.23,2849.99,2.80,54999890.45,92.00,420.00,0.15
14.4167,11182.34,2849.99,2.80,54999889.81,92.00,420.00,0.15
14.5,10786.11,2849.99,2.80,54999889.17,92.00,420.00,0.15
14.5833,11116.30,2849.99,2.80,54999888.54,92.00,420.00,0.15
14.6667,11138.31,2849.99,2.80,54999887.90,92.00,420.00,0.15
14.75,11105.29,2849.99,2.80,54999887.26,92.00,420.00,0.15
14.8333,10896.17,2849.99,2.80,54999886.63,92.00,420.00,0.15
14.9167,11116.30,2849.99,2.80,54999885.99,92.00,420.00,0.15
15,10973.22,2849.99,2.80,54999885.35,92.00,420.00,0.15
15.0833,11083.28,2849.99,2.80,54999884.71,92.00,420.00,0.15
15.1667,11160.32,2849.99,2.80,54999884.08,92.00,420.00,0.15
15.25,10852.15,2849.99,2.80,54999883.44,92.00,420.00,0.15
15.3333,10984.22,2849.99,2.80,54999882.80,92.00,420.00,0.15
15.4167,10852.15,2849.99,2.80,54999882.17,92.00,420.00,0.15
15.5,11105.29,2849.99,2.80,54999881.53,92.00,420.00,0.15
15.5833,11061.26,2849.99,2.80,54999880.89,92.00,420.00,0.15
15.6667,10984.22,2849.99,2.80,54999880.26,92.00,420.00,0.15
15.75,11226.36,2849.99,2.80,54999879.62,92.00,420.00,0.15
15.8333,10863.15,2849.99,2.80,54999878.98,92.00,420.00,0.15
15.9167,11116.29,2849.99,2.80,54999878.35,92.00,420.00,0.15
16,11127.30,2849.99,2.80,54999877.71,92.00,420.00,0.15
16.0833,10863.15,2849.99,2.80,54999877.07,92.00,420.00,0.15
16.1667,10852.14,2849.99,2.80,54999876.43,92.00,420.00,0.15
16.25,10929.19,2849.99,2.80,54999875.80,92.00,420.00,0.15
16.3333,11171.32,2849.99,2.80,54999875.16,92.00,420.00,0.15
16.4167,11039.25,2849.99,2.80,54999874.52,92.00,420.00,0.15
16.5,11160.32,2849.99,2.80,54999873.89,92.00,420.00,0.15
16.5833,11039.25,2849.99,2.80,54999873.25,92.00,420.00,0.15
16.6667,11006.23,2849.99,2.80,54999872.61,92.00,420.00,0.15
16.75,11061.26,2849.99,2.80,54999871.98,92.00,420.00,0.15
16.8333,11149.31,2849.99,2.80,54999871.34,92.00,420.00,0.15
16.9167,11215.35,2849.99,2.80,54999870.70,92.00,420.00,0.15
17,11006.23,2849.99,2.80,54999870.07,92.00,420.00,0.15
17.0833,11149.31,2849.99,2.80,54999869.43,92.00,420.00,0.15
17.1667,11116.29,2849.99,2.80,54999868.79,92.00,420.00,0.15
17.25,10907.17,2849.99,2.80,54999868.15,92.00,420.00,0.15
17.3333,11050.25,2849.99,2.80,54999867.52,92.00,420.00,0.15
17.4167,10786.10,2849.99,2.80,54999866.88,92.00,420.00,0.15
17.5,10819.12,2849.99,2.80,54999866.24,92.00,420.00,0.15
17.5833,10808.11,2849.99,2.80,54999865.61,92.00,420.00,0.15
17.6667,11105.28,2849.99,2.80,54999864.97,92.00,420.00,0.15
17.75,11193.33,2849.99,2.80,54999864.33,92.00,420.00,0.15
17.8333,10874.15,2849.99,2.80,54999863.70,92.00,420.00,0.15
17.9167,10852.14,2849.99,2.80,54999863.06,92.00,420.00,0.15
18,10808.11,2849.99,2.80,54999862.42,92.00,420.00,0.15
18.0833,11193.33,2849.99,2.80,54999861.78,92.00,420.00,0.15
18.1667,11149.31,2849.99,2.80,54999861.15,92.00,420.00,0.15
18.25,11028.24,2849.99,2.80,54999860.51,92.00,420.00,0.15
18.3333,11204.34,2849.99,2.80,54999859.87,92.00,420.00,0.15
18.4167,10786.10,2849.99,2.80,54999859.24,92.00,420.00,0.15
18.5,10907.17,2849.99,2.80,54999858.60,92.00,420.00,0.15
18.5833,11094.27,2849.99,2.80,54999857.96,92.00,420.00,0.15
18.6667,10885.15,2849.99,2.80,54999857.33,92.00,420.00,0.15
18.75,10995.22,2849.99,2.80,54999856.69,92.00,420.00,0.15
18.8333,10808.11,2849.99,2.80,54999856.05,92.00,420.00,0.15
18.9167,10830.12,2849.99,2.80,54999855.42,92.00,420.00,0.15
19,10808.11,2849.99,2.80,54999854.78,92.00,420.00,0.15
19.0833,11193.33,2849.99,2.80,54999854.14,92.00,420.00,0.15
19.1667,11105.28,2849.99,2.80,54999853.50,92.00,420.00,0.15
19.25,11028.23,2849.99,2.80,54999852.87,92.00,420.00,0.15
19.3333,11017.23,2849.99,2.80,54999852.23,92.00,420.00,0.15
19.4167,11017.23,2849.98,2.80,54999851.59,92.00,420.00,0.15
19.5,11039.24,2849.98,2.80,54999850.96,92.00,420.00,0.15
19.5833,10808.11,2849.98,2.80,54999850.32,92.00,420.00,0.15
19.6667,10962.20,2849.98,2.80,54999849.68,92.00,420.00,0.15
19.75,10918.17,2849.98,2.80,54999849.05,92.00,420.00,0.15
19.8333,10962.19,2849.98,2.80,54999848.41,92.00,420.00,0.15
19.9167,11226.34,2849.98,2.80,54999847.77,92.00,420.00,0.15
20,10918.17,2849.98,2.80,54999847.14,92.00,420.00,0.15
20.0833,10995.21,2849.98,2.80,54999846.50,92.00,420.00,0.15
20.1667,10819.11,2849.98,2.80,54999845.86,92.00,420.00,0.15
20.25,10786.09,2849.98,2.80,54999845.22,92.00,420.00,0.15
20.3333,10973.20,2849.98,2.80,54999844.59,92.00,420.00,0.15
20.4167,10918.17,2849.98,2.80,54999843.95,92.00,420.00,0.15
20.5,10874.14,2849.98,2.80,54999843.31,92.00,420.00,0.15
20.5833,10995.21,2849.98,2.80,54999842.68,92.00,420.00,0.15
20.6667,10896.15,2849.98,2.80,54999842.04,92.00,420.00,0.15
